Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Albuterol Sulfate,Albuterol Sulfate Hfa,13637416,851452250.9200001,5312290.0,16203099.500000004,399030874,2020
Albuterol Sulfate,Albuterol Sulfate Hfa,14423446,789784862.7599998,5603602.0,17379813.699999996,431465288,2021
Albuterol Sulfate,Albuterol Sulfate Hfa,15965991,807149940.9899999,6397646.0,19312041.800000004,479647767,2022
Albuterol Sulfate,Albuterol Sulfate Hfa,17712090,698450606.3000001,7055257.0,21257826.200000007,525985355,2023
Albuterol Sulfate,Albuterol Sulfate Hfa,19330031,636826136.89,7644521.0,23136771.7,571977834,2024
Albuterol Sulfate/Budesonide,Airsupra,9883,5372728.749999999,3694.0,10596.1,245339,2024
Alcaftadine,Lastacaft,3370,845027.74,1005.0,3526.899999999999,93939,2019
Alcaftadine,Lastacaft,2443,618649.37,707.0,2546.6,66090,2020
Alcaftadine,Lastacaft,2417,656095.65,681.0,2556.8,70484,2021
Alcaftadine,Lastacaft,310,88749.29000000001,84.0,338.5,10032,2022
Alclometasone Dipropionate,Alclometasone Dipropionate,35966,2115196.2800000003,24577.0,37120.7,814367,2019
Alclometasone Dipropionate,Alclometasone Dipropionate,32597,1771340.7700000005,21675.0,33822.4,777425,2020
Alclometasone Dipropionate,Alclometasone Dipropionate,32838,1738795.5499999998,22401.0,34020.5,791677,2021
Alclometasone Dipropionate,Alclometasone Dipropionate,32312,1675208.4400000006,22003.0,33583.8,816281,2022
Alclometasone Dipropionate,Alclometasone Dipropionate,29090,1334046.03,19856.0,30329.8,744968,2023
Alclometasone Dipropionate,Alclometasone Dipropionate,23811,919010.8199999996,16588.0,25046.599999999995,621333,2024
Alcohol Antiseptic Pads,Alcohol Pads,1116466,50291876.74,326093.0,1807595.8,53219498,2019
Alcohol Antiseptic Pads,Single Use Swab,1037410,27982436.15000001,329336.0,1732465.0999999996,51044250,2020
Alcohol Antiseptic Pads,Single Use Swab,984562,19761009.39,312818.0,1732449.1,51102531,2021
Alcohol Antiseptic Pads,Easy Touch Alcohol Prep Pads,888697,16299508.38,288490.0,1498245.7000000002,44110121,2022
Alcohol Antiseptic Pads,Alcohol Prep Pads,943960,14753201.66,298996.0,1726939.2000000002,50980554,2023
Alcohol Antiseptic Pads,Dropsafe Prep Pads,1003535,18279680.64,318224.0,1824341.6999999995,53872161,2024
Aldesleukin,Proleukin,142,727413.5,40.0,142.0,1780,2019
Aldesleukin,Proleukin,28,170817.52000000002,10.0,28.0,351,2020
Alectinib Hcl,Alecensa,2569,35764957.349999994,915.0,2595.4,76891,2019
Alectinib Hcl,Alecensa,3627,52279702.17000001,1250.0,3665.7,108892,2020
Alectinib Hcl,Alecensa,4547,68333564.78999999,1570.0,4619.200000000001,138141,2021
Alectinib Hcl,Alecensa,5267,83061130.27999999,1735.0,5364.800000000001,160546,2022
Alectinib Hcl,Alecensa,6437,108012315.30000004,2030.0,6575.0,196520,2023
Alectinib Hcl,Alecensa,8686,146304346.58999997,2605.0,8885.499999999998,266138,2024
Alendronate Sodium,Alendronate Sodium,6934080,68125130.27,1859812.0,13760958.500000002,405868198,2019
